支店コード,部署コード,勘定科目コード,金額
C00200,303,2057,2373
C00200,302,2387,3471
C00200,302,2088,4859
C00200,101,2064,356
C00200,204,2112,478
C00200,201,1984,1320
C00200,201,2181,3977
C00200,301,2291,4511
C00200,102,2174,1858
C00200,204,2387,2878
C00200,203,2136,2469
C00200,102,2019,1981
C00200,201,2040,2562
C00200,202,2040,2034
C00200,303,2387,2549
C00200,202,2387,780
C00200,303,2071,4602
C00200,101,2040,1522
C00200,103,2095,4246
C00200,203,2318,1135
C00200,302,1991,4431
C00200,102,2136,4206
C00200,301,2318,4125
C00200,303,2040,4610
C00200,302,2095,4390
C00200,103,2088,1053
C00200,205,2291,3915
C00200,101,2387,3248
C00200,302,2318,3520
C00200,205,2387,2160
C00200,205,2129,3301
C00200,202,2057,1044
C00200,204,2071,688
C00200,303,2095,566
C00200,204,1984,882
C00200,303,1991,4656
