支店コード,部署コード,勘定科目コード,金額
C00100,301,2071,253
C00100,303,2057,3855
C00100,201,2040,282
C00100,204,2174,681
C00100,103,2387,3302
C00100,102,2088,88
C00100,203,2071,2357
C00100,302,2040,4298
C00100,201,2071,4350
C00100,302,2174,1562
C00100,104,2040,490
C00100,204,2136,3723
C00100,202,2136,4002
C00100,301,2318,4453
C00100,101,2057,2572
C00100,205,2095,691
C00100,303,2174,2338
C00100,204,1984,2539
C00100,103,2026,4671
C00100,303,2112,4663
C00100,103,2291,2051
C00100,202,2181,707
C00100,302,2033,435
C00100,202,2143,2414
C00100,204,2167,3769
C00100,101,2026,3814
C00100,104,2088,1484
C00100,205,2387,1369
C00100,301,1991,214
C00100,205,2033,3302
C00100,102,2064,3466
C00100,204,2033,1727
C00100,201,2318,4341
C00100,202,2033,4984
C00100,301,2394,4783
C00100,205,1984,2815
C00100,202,2040,1949
C00100,201,2167,4054
C00100,203,2026,3640
C00100,302,2026,681
C00100,302,2129,2519
C00100,202,2112,3021
C00100,103,2057,2733
C00100,204,2318,4644
C00100,301,2040,4429
C00100,204,2143,2758
C00100,101,2064,412
C00100,201,2112,1005
C00100,104,2181,2935
C00100,201,2057,3808
C00100,205,2040,1911
C00100,102,1984,722
C00100,302,2291,3173
C00100,102,2112,738
C00100,202,2291,962
C00100,301,1984,1236
C00100,303,2318,4524
C00100,102,2318,1374
C00100,101,2387,839
C00100,205,2019,169
C00100,203,2143,1747
C00100,104,2291,955
C00100,201,2174,4588
C00100,101,2291,2540
C00100,302,2318,2885
C00100,204,2387,3684
C00100,205,2088,170
C00100,102,2026,3081
C00100,204,2291,894
C00100,302,2143,1398
C00100,301,2026,4928
C00100,205,2318,4734
C00100,101,2394,3913
C00100,303,2291,4220
C00100,101,2167,3019
C00100,303,2040,3022
C00100,205,2291,3793
C00100,302,2112,1602
C00100,302,2167,3172
C00100,203,2057,2058
C00100,205,2394,2212
C00100,205,1991,2644
C00100,201,2026,1525
C00100,301,2136,2831
C00100,205,2071,532
C00100,202,2088,394
C00100,204,2057,2037
C00100,102,2167,4949
C00100,201,2095,2694
C00100,102,2394,6
C00100,101,2112,1076
C00100,103,2394,4099
C00100,301,2033,4059
C00100,202,2129,4186
C00100,302,2387,1717
C00100,102,2387,1446
C00100,201,2064,364
C00100,202,1991,123
C00100,301,2387,4940
C00100,103,2064,1344
C00100,102,2291,2934
C00100,103,2181,2880
C00100,104,2026,1676
C00100,203,2129,1592
C00100,203,2167,3170
C00100,204,2088,2018
C00100,302,2057,4025
C00100,303,2394,3143
C00100,301,2167,3297
C00100,202,2071,4922
C00100,301,2291,1439
C00100,303,2136,2375
C00100,205,2064,3234
C00100,102,2136,175
C00100,203,2394,3803
C00100,202,2318,4375
C00100,202,2019,3363
C00100,103,2071,1172
C00100,101,2071,3009
C00100,101,2143,3442
C00100,203,2174,10
C00100,201,2291,2119
C00100,201,2143,3139
C00100,205,2026,890
C00100,202,2057,659
C00100,102,2057,446
C00100,204,1991,4494
C00100,302,2095,1301
C00100,103,2112,3472
C00100,203,2095,2166
C00100,303,2026,4666
C00100,103,2174,2742
C00100,101,2174,935
C00100,201,1984,4680
C00100,104,2019,4491
C00100,103,2095,1393
C00100,203,2181,1181
C00100,302,1984,2740
C00100,205,2181,1430
C00100,204,2394,3355
C00100,103,2088,226
C00100,202,2064,2575
C00100,201,2394,2416
C00100,102,2181,3549
C00100,104,2057,571
C00100,102,1991,451
C00100,201,2033,3025
C00100,204,2112,2164
C00100,201,2019,3473
C00100,303,2071,1083
C00100,102,2143,3692
C00100,301,2181,644
C00100,204,2040,2481
C00100,202,2387,933
